id,nationality,visa_type,consulate,submission_date,decision_date,processing_days,documents_submitted,document_count,sponsor_type,prior_travel,status
case_003430,South Korea,H-1B,Beijing,2024-10-31,2025-03-02,122,"['Travel Itinerary', 'Employment Letter', 'I-797', 'Resume', 'Passport', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",9,family,False,approved
case_003851,Philippines,H-1B,Beijing,2024-10-31,2025-04-01,152,"['Employment Letter', 'I-797', 'Resume', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",9,self,True,rfe
case_002632,Bangladesh,B1/B2,Guadalajara,2024-10-31,2024-11-17,17,"['Travel Itinerary', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",5,government,True,approved
case_000233,Pakistan,F-1,New Delhi,2024-10-31,2024-12-08,38,"['Financial Docs', 'I-20', 'Transcripts', 'Property Docs', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo']",9,university,True,approved
case_004361,South Korea,F-1,Kolkata,2024-10-31,2024-12-10,40,"['Travel Itinerary', 'Financial Docs', 'I-20', 'Passport', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",8,family,False,approved
case_000279,Germany,B1/B2,Frankfurt,2024-10-31,2024-11-17,17,"['Passport', 'Invitation Letter', 'DS-160', 'Bank Statement', 'Fee Receipt', 'Photo']",6,self,True,approved
case_003360,Japan,B1/B2,Tokyo,2024-10-31,2024-12-03,33,"['Passport', 'Invitation Letter', 'DS-160', 'Fee Receipt', 'Photo']",5,government,False,approved
case_001475,Brazil,H-1B,Shanghai,2024-10-31,2025-01-16,77,"['Employment Letter', 'I-797', 'Resume', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo']",8,employer,False,approved
case_003139,United Kingdom,H-1B,Frankfurt,2024-10-31,2025-01-17,78,"['Travel Itinerary', 'Employment Letter', 'I-797', 'Resume', 'Property Docs', 'Passport', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",10,employer,False,approved
case_004273,Japan,H-1B,Tokyo,2024-10-31,2025-02-10,102,"['Employment Letter', 'I-797', 'Resume', 'Property Docs', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",8,self,False,approved
case_003352,Pakistan,F-1,Hyderabad,2024-10-31,2024-12-01,31,"['Travel Itinerary', 'Financial Docs', 'I-20', 'Property Docs', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",8,government,False,approved
case_002019,Philippines,H-1B,Shenyang,2024-10-31,2025-01-18,79,"['Employment Letter', 'I-797', 'Resume', 'Passport', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",8,family,False,approved
case_001108,India,B1/B2,Tokyo,2024-10-31,2024-11-19,19,"['Property Docs', 'Passport', 'Invitation Letter', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",7,employer,False,approved
